nome,codigo,valor,intensidade,uf
ITAPECURU MIRIM,2105401,1,s0,Maranhão
FELIZ DESERTO,2702702,0,si,Alagoas
CENTRAL DO MARANHÃO,2103125,3,s2,Maranhão
ACARAPE,2300150,4,s3,Ceará
ITAPARICA,2916104,0,si,Bahia
SANTA TEREZINHA,2928505,0,si,Bahia
MATA GRANDE,2705002,3,s2,Alagoas
SANTANA DOS GARROTES,2513604,3,s2,Paraíba
LAGOA DOS GATOS,2608701,2,s1,Pernambuco
CAMPO GRANDE,2701506,0,si,Alagoas
TABIRA,2614600,3,s2,Pernambuco
GADO BRAVO,2506251,2,s1,Paraíba
RIO TINTO,2512903,0,si,Paraíba
JOSÉ DA PENHA,2406007,3,s2,Rio Grande do Norte
BANANEIRAS,2501500,0,si,Paraíba
PINTADAS,2924652,0,si,Bahia
BREJINHO,2602506,3,s2,Pernambuco
SÃO DOMINGOS,2513968,3,s2,Paraíba
DOM BASÍLIO,2910107,2,s1,Bahia
MUNIZ FERREIRA,2922201,0,si,Bahia
MAETINGA,2919959,1,s0,Bahia
PACATUBA,2804904,0,si,Sergipe
CALDEIRÃO GRANDE,2905503,2,s1,Bahia
QUIPAPÁ,2611507,2,s1,Pernambuco
NOVA REDENÇÃO,2922854,0,si,Bahia
SAIRÉ,2612000,3,s2,Pernambuco
JABOATÃO DOS GUARARAPES,2607901,0,si,Pernambuco
OLIVEIRA DOS BREJINHOS,2923209,3,s2,Bahia
ARARIPE,2301307,5,s4,Ceará
SALOÁ,2612307,3,s2,Pernambuco
JARDIM DE ANGICOS,2405504,1,s0,Rio Grande do Norte
SANTA BRÍGIDA,2927606,1,s0,Bahia
PARANATAMA,2610301,3,s2,Pernambuco
MOMBAÇA,2308500,5,s4,Ceará
PIMENTEIRAS,2208106,5,s4,Piauí
MORRO DO CHAPÉU DO PIAUÍ,2206670,2,s1,Piauí
ITAMARI,2915700,0,si,Bahia
SÃO GABRIEL,2929255,2,s1,Bahia
CAIÇARA,2503605,0,si,Paraíba
QUIJINGUE,2925907,1,s0,Bahia
BOM JARDIM,2102002,1,s0,Maranhão
CACULÉ,2905008,2,s1,Bahia
TRAIPU,2709202,0,si,Alagoas
EUSÉBIO,2304285,4,s3,Ceará
BREJO DO PIAUÍ,2201988,4,s3,Piauí
PESQUEIRA,2610905,5,s4,Pernambuco
COLÔNIA DO PIAUÍ,2202778,4,s3,Piauí
SERRA DOURADA,2930303,3,s2,Bahia
UNIÃO,2211100,1,s0,Piauí
LAGOA DE SÃO FRANCISCO,2205573,3,s2,Piauí
VISTA SERRANA,2505501,3,s2,Paraíba
PORTO SEGURO,2925303,0,si,Bahia
BOCAINA,2201804,5,s4,Piauí
MATINA,2921054,3,s2,Bahia
ITAREMA,2306553,4,s3,Ceará
IBIMIRIM,2606606,4,s3,Pernambuco
SÃO VICENTE DO SERIDÓ,2515401,2,s1,Paraíba
BARREIRAS,2903201,3,s2,Bahia
PRESIDENTE VARGAS,2109304,1,s0,Maranhão
SÃO VICENTE FÉRRER,2613800,1,s0,Pernambuco
JACARÉ DOS HOMENS,2703403,1,s0,Alagoas
TIMON,2112209,1,s0,Maranhão
LENÇÓIS,2919306,1,s0,Bahia
MACARANI,2919702,0,si,Bahia
PAQUETÁ,2207553,4,s3,Piauí
BAIXIO,2301802,3,s2,Ceará
CACIMBA DE AREIA,2503407,3,s2,Paraíba
SENADOR GEORGINO AVELINO,2413201,0,si,Rio Grande do Norte
SANTO AMARO,2928604,0,si,Bahia
MERUOCA,2308203,4,s3,Ceará
SAUBARA,2929750,0,si,Bahia
CAMAMU,2905800,0,si,Bahia
AGUIARNÓPOLIS,1700301,2,s1,Tocantins
SANTA CRUZ,2513208,3,s2,Paraíba
PINDARÉ-MIRIM,2108504,0,si,Maranhão
OLHO D'ÁGUA DO BORGES,2408409,3,s2,Rio Grande do Norte
SÃO JOSÉ DA TAPERA,2708402,1,s0,Alagoas
PEDRA MOLE,2805000,0,si,Sergipe
CACHOEIRA GRANDE,2102374,2,s1,Maranhão
UNIÃO DOS PALMARES,2709301,1,s0,Alagoas
PEDRINHAS,2805109,0,si,Sergipe
CUMARU,2604908,3,s2,Pernambuco
RIBEIRA DO AMPARO,2926509,0,si,Bahia
BREJO DOS SANTOS,2502904,3,s2,Paraíba
DIAS D'ÁVILA,2910057,0,si,Bahia
BANDEIRA,3105202,0,si,Minas Gerais
NOVA SANTA RITA,2207959,4,s3,Piauí
IELMO MARINHO,2404606,0,si,Rio Grande do Norte
NOVA OLINDA DO MARANHÃO,2107357,1,s0,Maranhão
FRONTEIRAS,2204303,5,s4,Piauí
SENTO SÉ,2930204,3,s2,Bahia
REGENERAÇÃO,2208809,3,s2,Piauí
ALTO ALEGRE DO MARANHÃO,2100436,0,si,Maranhão
IPECAETÁ,2913804,0,si,Bahia
MARCAÇÃO,2509057,0,si,Paraíba
CAAPORÃ,2503001,0,si,Paraíba
IBITIARA,2913002,3,s2,Bahia
ARACATU,2902005,1,s0,Bahia
AÇU,2400208,3,s2,Rio Grande do Norte
CAJUEIRO DA PRAIA,2202083,2,s1,Piauí
ALTO LONGÁ,2200301,3,s2,Piauí
ELISEU MARTINS,2203602,3,s2,Piauí
ERERÊ,2304277,3,s2,Ceará
PAULO JACINTO,2706604,1,s0,Alagoas
CAMOCIM DE SÃO FÉLIX,2603504,3,s2,Pernambuco
BRUMADO,2904605,2,s1,Bahia
BOA VISTA,2502151,2,s1,Paraíba
MIGUEL CALMON,2921203,1,s0,Bahia
IMPERATRIZ,2105302,3,s2,Maranhão
CAMPINA GRANDE,2504009,2,s1,Paraíba
SOUTO SOARES,2930808,2,s1,Bahia
CARNAUBAIS,2402501,4,s3,Rio Grande do Norte
VIEIRÓPOLIS,2517209,3,s2,Paraíba
OLHO D'ÁGUA DO PIAUÍ,2207108,2,s1,Piauí
SANTO ANTÔNIO,2411502,0,si,Rio Grande do Norte
SÃO JOSÉ DE PRINCESA,2514552,3,s2,Paraíba
ITAMBÉ,2915809,0,si,Bahia
SANTANA DO SÃO FRANCISCO,2806404,0,si,Sergipe
IRECÊ,2914604,2,s1,Bahia
CARRAPATEIRA,2504108,3,s2,Paraíba
TAMBORIL DO PIAUÍ,2210953,4,s3,Piauí
VICÊNCIA,2616308,1,s0,Pernambuco
UMBUZEIRO,2517001,2,s1,Paraíba
AFOGADOS DA INGAZEIRA,2600104,3,s2,Pernambuco
NOVA COLINAS,2107258,3,s2,Maranhão
OEIRAS,2207009,4,s3,Piauí
PATOS,2510808,3,s2,Paraíba
SIMPLÍCIO MENDES,2210805,4,s3,Piauí
LAGOA DO PIAUÍ,2205581,2,s1,Piauí
CASINHAS,2604155,2,s1,Pernambuco
ITATIRA,2306603,5,s4,Ceará
MOREILÂNDIA,2614303,5,s4,Pernambuco
JUAZEIRO DO PIAUÍ,2205516,3,s2,Piauí
PARANÁ,2408607,3,s2,Rio Grande do Norte
SANTANA DO ACARAÚ,2312007,4,s3,Ceará
PALMÓPOLIS,3146750,0,si,Minas Gerais
SALGADINHO,2513000,3,s2,Paraíba
MULUNGU,2309102,5,s4,Ceará
GILBUÉS,2204402,3,s2,Piauí
SÃO MIGUEL DO TAPUIO,2210409,4,s3,Piauí
MOSSORÓ,2408003,4,s3,Rio Grande do Norte
IBIRAJUBA,2606705,3,s2,Pernambuco
ESPERANTINA,2203701,2,s1,Piauí
CERRO CORÁ,2402709,2,s1,Rio Grande do Norte
CARRASCO BONITO,1703891,2,s1,Tocantins
SÃO MIGUEL DA BAIXA GRANDE,2210383,3,s2,Piauí
SÃO MIGUEL DOS MILAGRES,2708709,0,si,Alagoas
SÃO VICENTE,2413003,2,s1,Rio Grande do Norte
LIVRAMENTO DE NOSSA SENHORA,2919504,2,s1,Bahia
PORTO CALVO,2707305,0,si,Alagoas
SÃO JOSÉ DE CAIANA,2514305,3,s2,Paraíba
SENADOR LA ROCQUE,2111763,3,s2,Maranhão
PAU BRASIL,2923902,0,si,Bahia
MONSENHOR GIL,2206407,2,s1,Piauí
TACAIMBÓ,2614709,4,s3,Pernambuco
PORTO ALEGRE DO PIAUÍ,2208551,2,s1,Piauí
BENTO FERNANDES,2401602,1,s0,Rio Grande do Norte
SERRA DO RAMALHO,2930154,3,s2,Bahia
ANTÔNIO ALMEIDA,2200806,2,s1,Piauí
TRACUNHAÉM,2615508,0,si,Pernambuco
MACAMBIRA,2803708,0,si,Sergipe
SÃO JOSÉ DO DIVINO,2210052,2,s1,Piauí
JATOBÁ DO PIAUÍ,2205276,3,s2,Piauí
VITÓRIA DO MEARIM,2112902,0,si,Maranhão
ARÊS,2401206,0,si,Rio Grande do Norte
CARACOL,2202505,4,s3,Piauí
GRACHO CARDOSO,2802601,0,si,Sergipe
IBIPEBA,2912400,2,s1,Bahia
CABACEIRAS DO PARAGUAÇU,2904852,0,si,Bahia
IUIU,2917334,3,s2,Bahia
JACARAÚ,2507309,0,si,Paraíba
MESSIAS TARGINO,2407609,3,s2,Rio Grande do Norte
PINDORETAMA,2310852,4,s3,Ceará
ALAGOINHA,2500502,0,si,Paraíba
PRIMEIRA CRUZ,2109403,3,s2,Maranhão
SÃO PEDRO DA ÁGUA BRANCA,2111532,2,s1,Maranhão
LAGOA DO CARRO,2608453,1,s0,Pernambuco
PLANALTINO,2924900,0,si,Bahia
DIAMANTE,2505600,3,s2,Paraíba
SENADOR ELÓI DE SOUZA,2413102,0,si,Rio Grande do Norte
BALSAS,2101400,3,s2,Maranhão
BARRA DE SANTO ANTÔNIO,2700508,0,si,Alagoas
JABORANDI,2917359,3,s2,Bahia
BARAÚNA,2501534,2,s1,Paraíba
NEÓPOLIS,2804409,0,si,Sergipe
ITAINÓPOLIS,2205003,5,s4,Piauí
SÃO JOÃO DO CARIRI,2514008,3,s2,Paraíba
HIDROLÂNDIA,2305209,4,s3,Ceará
PALMEIRÂNDIA,2107605,1,s0,Maranhão
SANTO INÁCIO DO PIAUÍ,2209500,4,s3,Piauí
ITABUNA,2914802,0,si,Bahia
RIACHO DA CRUZ,2410702,3,s2,Rio Grande do Norte
ITAPIÚNA,2306504,5,s4,Ceará
MANOEL VITORINO,2920403,0,si,Bahia
ALAGOINHA DO PIAUÍ,2200251,5,s4,Piauí
SERRA NEGRA DO NORTE,2413409,3,s2,Rio Grande do Norte
SIRINHAÉM,2614204,0,si,Pernambuco
FORTUNA,2104206,0,si,Maranhão
AFONSO CUNHA,2100105,1,s0,Maranhão
MARCO,2307809,4,s3,Ceará
PORTO REAL DO COLÉGIO,2707503,0,si,Alagoas
JATOBÁ,2105450,1,s0,Maranhão
TRINDADE,2615607,5,s4,Pernambuco
COCAL,2202703,2,s1,Piauí
DOM ELISEU,1502939,2,s1,Pará
SIGEFREDO PACHECO,2210656,3,s2,Piauí
SÃO JOÃO BATISTA,2111003,1,s0,Maranhão
UTINGA,2932804,1,s0,Bahia
CRATO,2304202,4,s3,Ceará
FRANCISCO DANTAS,2403905,3,s2,Rio Grande do Norte
UPANEMA,2414605,3,s2,Rio Grande do Norte
TACARATU,2614808,3,s2,Pernambuco
SAÚDE,2929800,2,s1,Bahia
SANTA CRUZ CABRÁLIA,2927705,0,si,Bahia
PACOTI,2309805,5,s4,Ceará
NOVA ITARANA,2922805,0,si,Bahia
MAMANGUAPE,2508901,0,si,Paraíba
SÃO MIGUEL DO TOCANTINS,1720200,3,s2,Tocantins
ICAPUÍ,2305357,4,s3,Ceará
ALTO DO RODRIGUES,2400703,3,s2,Rio Grande do Norte
PARAIBANO,2107704,1,s0,Maranhão
GUANAMBI,2911709,3,s2,Bahia
ÁGUA DOCE DO MARANHÃO,2100154,3,s2,Maranhão
CARNEIROS,2701803,1,s0,Alagoas
IPUBI,2607307,5,s4,Pernambuco
PRESIDENTE JUSCELINO,2109205,2,s1,Maranhão
MUTUÍPE,2922409,0,si,Bahia
MUNDO NOVO,2922102,1,s0,Bahia
UBAÍRA,2932101,0,si,Bahia
SÃO DOMINGOS,5219803,3,s2,Goiás
RIACHO DE SANTANA,2410801,3,s2,Rio Grande do Norte
LUÍS DOMINGUES,2106201,2,s1,Maranhão
RIBEIRA DO POMBAL,2926608,0,si,Bahia
IGRAPIÚNA,2913457,0,si,Bahia
CHÃ PRETA,2701902,1,s0,Alagoas
JAÇANÃ,2405009,2,s1,Rio Grande do Norte
GUAJERU,2911659,2,s1,Bahia
CAPELA,2701704,0,si,Alagoas
CHAPADINHA,2103208,2,s1,Maranhão
CAMPOS LINDOS,1703842,3,s2,Tocantins
AGRESTINA,2600302,3,s2,Pernambuco
FILADÉLFIA,1707702,2,s1,Tocantins
PEDRO VELHO,2409803,0,si,Rio Grande do Norte
PINDAÍ,2924504,2,s1,Bahia
ITABERABA,2914703,0,si,Bahia
ITAÚ,2404903,3,s2,Rio Grande do Norte
PEREIRO,2310803,3,s2,Ceará
JIQUIRIÇÁ,2918209,0,si,Bahia
CAMPO GRANDE DO PIAUÍ,2202133,5,s4,Piauí
ITABI,2803104,0,si,Sergipe
JAGUARARI,2917706,4,s3,Bahia
GOVERNADOR DIX-SEPT ROSADO,2404309,3,s2,Rio Grande do Norte
GOIANINHA,2404200,0,si,Rio Grande do Norte
CONCEIÇÃO DO ALMEIDA,2908309,0,si,Bahia
IRARÁ,2914505,0,si,Bahia
SANTA TERESINHA,2513802,3,s2,Paraíba
CONCEIÇÃO DO COITÉ,2908408,0,si,Bahia
BELO MONTE,2700904,0,si,Alagoas
ESTÂNCIA,2802106,0,si,Sergipe
AUGUSTO SEVERO,2401305,3,s2,Rio Grande do Norte
